                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5463,                 1.4155,                 1.0945,                0.75457,                0.19061,                0.31384,                 0.1482,                 1.7625,                 2.2226,                 1.1452,             0.00042081,             0.00042081,             0.00042081
                     35,                  1.606,                 1.4663,                 1.0972,                0.41659,                0.41896,                0.33232,                0.15235,                 1.7918,                 2.2096,                 1.1402,             0.00042081,             0.00042081,             0.00042081
                     36,                 1.4401,                 1.4556,                  1.066,                0.43936,                0.39298,                0.27954,                0.14011,                 1.7841,                 2.2164,                 1.1605,             0.00041462,             0.00041462,             0.00041462
                     37,                 1.4547,                 1.3333,                 1.0591,                0.43936,                0.39298,                0.27954,                0.14011,                 1.7841,                 2.2164,                 1.1605,             0.00040844,             0.00040844,             0.00040844
                     38,                 1.5092,                 1.4147,                 1.0408,                0.44005,                0.41126,                0.26897,                0.12886,                  1.822,                 2.1849,                 1.1534,             0.00040225,             0.00040225,             0.00040225
                     39,                 1.4027,                 1.5431,                 1.0701,                0.40536,                0.28118,                 0.2103,                0.12445,                 1.8169,                 2.2103,                 1.1845,             0.00039606,             0.00039606,             0.00039606
                     40,                 1.6304,                 1.5219,                 1.1172,                0.40113,                0.27447,                0.22282,                0.13238,                 1.7879,                 2.2473,                 1.1793,             0.00038988,             0.00038988,             0.00038988
                     41,                 1.4312,                 1.2908,                 1.0275,                0.40113,                0.27447,                0.22282,                0.13238,                 1.7879,                 2.2473,                 1.1793,             0.00038369,             0.00038369,             0.00038369
                     42,                 1.4634,                 1.3171,                 1.0517,                0.41655,                 0.3007,                0.23179,                0.14423,                 1.8162,                 2.2638,                 1.1832,              0.0003775,              0.0003775,              0.0003775
                     43,                  1.572,                 1.4229,                 1.0738,                0.48951,                0.26147,                0.24699,                 0.1468,                 1.8264,                 2.2186,                 1.1856,             0.00037131,             0.00037131,             0.00037131
                     44,                 1.5004,                 1.3284,                 1.0424,                 0.5154,                0.27702,                 0.2681,                0.15248,                 1.8333,                 2.0374,                   1.19,             0.00036513,             0.00036513,             0.00036513
                     45,                 1.4952,                 1.3894,                 1.1105,                 0.5154,                0.27702,                 0.2681,                0.15248,                 1.8333,                 2.0374,                   1.19,             0.00035894,             0.00035894,             0.00035894
                     46,                 1.3917,                 1.3388,                 1.0357,                 0.6888,                0.26272,                0.29797,                0.16516,                 1.8278,                 1.9475,                  1.191,             0.00035275,             0.00035275,             0.00035275
                     47,                 1.5844,                 1.3099,                 1.0783,                0.85061,                0.25409,                0.28743,                0.17358,                  1.815,                 1.9375,                 1.1851,             0.00034656,             0.00034656,             0.00034656
                     48,                 1.4124,                 1.3119,                  1.062,                0.73715,                0.25109,                 0.2974,                0.18493,                 1.7458,                 1.9483,                 1.1805,             0.00034038,             0.00034038,             0.00034038
                     49,                 1.4241,                  1.294,                 1.0866,                0.73715,                0.25109,                 0.2974,                0.18493,                 1.7458,                 1.9483,                 1.1805,             0.00033419,             0.00033419,             0.00033419
                     50,                 1.4902,                 1.2508,                 1.0179,                0.74428,                0.24745,                0.32075,                0.20079,                 1.7268,                 1.9699,                 1.1766,               0.000328,               0.000328,               0.000328
                     51,                 1.4959,                 1.3536,                 1.0688,                0.81594,                0.25006,                0.33964,                 0.2051,                 1.7237,                 1.9654,                 1.1733,             0.00032181,             0.00032181,             0.00032181
                     52,                 1.4096,                 1.3234,                 1.0327,                0.69892,                0.27736,                0.32734,                0.20008,                  1.727,                 1.9609,                 1.1738,             0.00031562,             0.00031562,             0.00031562
                     53,                 1.4141,                 1.1594,                 1.0433,                0.69892,                0.27736,                0.32734,                0.20008,                  1.727,                 1.9609,                 1.1738,             0.00030944,             0.00030944,             0.00030944
                     54,                 1.4629,                 1.2431,                 1.0298,                0.69522,                0.27419,                0.32075,                0.19618,                 1.7103,                 1.9557,                 1.1598,             0.00030325,             0.00030325,             0.00030325
                     55,                 1.3984,                 1.1943,                  1.056,                 0.7307,                0.24002,                0.30855,                0.17612,                 1.7222,                 1.8333,                  1.153,             0.00029706,             0.00029706,             0.00029706
                     56,                 1.3979,                 1.2164,                 1.0805,                0.70605,                0.25094,                0.27666,                  0.158,                 1.7574,                 1.8016,                 1.1824,             0.00029088,             0.00029088,             0.00029088
                     57,                 1.4644,                  1.221,                 1.0272,                0.70605,                0.25094,                0.27666,                  0.158,                 1.7574,                 1.8016,                 1.1824,             0.00028469,             0.00028469,             0.00028469
                     58,                 1.3796,                 1.2483,                 1.0635,                0.66816,                0.27041,                0.27027,                 0.1613,                 1.7716,                  1.789,                 1.2133,              0.0002785,              0.0002785,              0.0002785
                     59,                 1.3475,                 1.2149,                 1.0896,                0.68291,                0.26795,                 0.2794,                0.17356,                 1.7461,                 1.7222,                 1.2025,             0.00027231,             0.00027231,             0.00027231
                     60,                 1.3622,                 1.4688,                 1.0915,                 0.6553,                0.27585,                0.28589,                  0.175,                 1.7201,                 1.6974,                 1.1802,             0.00026613,             0.00026613,             0.00026613
                     61,                 1.2576,                 1.1004,                 1.0182,                 0.6553,                0.27585,                0.28589,                  0.175,                 1.7201,                 1.6974,                 1.1802,             0.00025994,             0.00025994,             0.00025994
                     62,                 1.4408,                 1.2512,                 1.0572,                0.53607,                0.29143,                0.30225,                0.18726,                 1.6857,                 1.7088,                 1.1625,             0.00025375,             0.00025375,             0.00025375
                     63,                 1.3621,                 1.2541,                  1.015,                0.59488,                0.37801,                0.32027,                0.17673,                 1.6999,                 1.6709,                 1.1484,             0.00024756,             0.00024756,             0.00024756
                     64,                 1.2986,                  1.115,                 1.0162,                0.57014,                 0.3756,                 0.3216,                0.16518,                 1.7513,                 1.6782,                 1.1523,             0.00024137,             0.00024137,             0.00024137
                     65,                 1.4485,                 1.2154,                 1.0245,                0.57014,                 0.3756,                 0.3216,                0.16518,                 1.7513,                 1.6782,                 1.1523,             0.00023519,             0.00023519,             0.00023519
                     66,                 1.3144,                  1.114,                 1.0148,                0.52518,                0.37918,                0.33324,                0.18222,                 1.7997,                 1.6521,                 1.1556,               0.000229,               0.000229,               0.000229
                     67,                 1.3134,                 1.2281,                 1.0364,                0.52506,                0.37127,                0.33605,                0.18841,                 1.8248,                 1.6448,                 1.1675,             0.00022281,             0.00022281,             0.00022281
                     68,                 1.3322,                 1.0663,                 1.0082,                0.47253,                 0.3102,                0.36777,                0.20443,                 1.7988,                 1.6824,                 1.1708,             0.00021662,             0.00021662,             0.00021662
                     69,                 1.3228,                 1.1228,                  1.001,                0.47253,                 0.3102,                0.36777,                0.20443,                 1.7988,                 1.6824,                 1.1708,             0.00021044,             0.00021044,             0.00021044
                     70,                 1.2757,                 1.0134,                 0.9982,                0.50101,                0.34134,                0.42152,                0.23937,                 1.7693,                 1.7148,                 1.1592,             0.00020425,             0.00020425,             0.00020425
                     71,                 1.3234,                 1.0617,                 1.0153,                 0.5034,                0.35238,                0.43048,                 0.2551,                 1.7686,                 1.7293,                 1.1716,             0.00019806,             0.00019806,             0.00019806
                     72,                 1.4385,                 1.1445,                 1.0414,                0.50692,                0.35146,                0.44449,                0.26274,                   1.73,                 1.7376,                 1.1625,             0.00019188,             0.00019188,             0.00019188
                     73,                 1.3291,                 1.1373,                0.98697,                0.50692,                0.35146,                0.44449,                0.26274,                   1.73,                 1.7376,                 1.1625,             0.00018569,             0.00018569,             0.00018569
                     74,                 1.3072,                 1.1006,                 1.0266,                0.53354,                0.42451,                0.40001,                0.23537,                 1.7114,                 1.7546,                  1.159,              0.0001795,              0.0001795,              0.0001795
                     75,                 1.2844,                 1.0696,                 1.0088,                0.55662,                 0.4459,                0.40383,                0.23582,                 1.6836,                 1.7384,                 1.1429,             0.00017331,             0.00017331,             0.00017331
                     76,                 1.4044,                 1.1493,                 1.0312,                0.54559,                0.46669,                0.41537,                0.23664,                 1.6767,                 1.7786,                 1.1391,             0.00016713,             0.00016713,             0.00016713
                     77,                 1.2566,                 1.0313,                0.98999,                0.54559,                0.46669,                0.41537,                0.23664,                 1.6767,                 1.7786,                 1.1391,             0.00016094,             0.00016094,             0.00016094
                     78,                 1.3515,                 1.0819,                 1.0113,                0.54029,                0.46792,                0.41636,                0.23798,                 1.6899,                 1.7788,                 1.1365,             0.00015475,             0.00015475,             0.00015475
                     79,                 1.2441,                 1.0198,                 1.0074,                0.49217,                0.47237,                0.39346,                0.22175,                 1.6693,                 1.7482,                 1.1201,             0.00014856,             0.00014856,             0.00014856
                     80,                 1.2821,                 1.0414,                0.99738,                0.51511,                0.46382,                0.39992,                 0.2273,                 1.6762,                 1.7987,                 1.1242,             0.00014237,             0.00014237,             0.00014237
                     81,                 1.3008,                 1.0556,                 1.0021,                0.51511,                0.46382,                0.39992,                 0.2273,                 1.6762,                 1.7987,                 1.1242,             0.00013619,             0.00013619,             0.00013619
                     82,                 1.3286,                 1.1254,                 1.0567,                0.52801,                0.46497,                0.44522,                0.25547,                 1.6946,                 1.7898,                 1.1272,                0.00013,                0.00013,                0.00013
                     83,                 1.2395,                  1.094,                 1.0179,                0.54537,                0.45298,                0.43219,                0.24811,                 1.7017,                 1.7997,                 1.1271,             0.00012381,             0.00012381,             0.00012381
